ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
44,65+,female,majority,10-19y,high school,middle class,0.347347,0,before 2015,1,1,10015,13310,sedan,0,1,1,0
45,26-39,female,majority,10-19y,none,middle class,0.21381,0,after 2015,0,0,10009,13648,sports car,0,0,0,0
46,40-64,female,minority,20-29y,university,middle class,0.267875,1,after 2015,1,0,10009,23488,sedan,4,0,3,1
47,26-39,male,majority,0-9y,high school,working class,0.97922,0,after 2015,0,0,10065,15443,sports car,0,0,0,0
48,40-64,male,majority,20-29y,university,working class,0.303973,1,after 2015,1,0,10068,15214,sedan,0,1,1,0
49,40-64,female,majority,20-29y,university,middle class,0.977806,1,after 2015,0,0,10065,12329,sports car,0,0,5,0
50,26-39,female,minority,30y+,high school,middle class,0.330215,0,after 2015,0,0,10032,17777,sedan,3,0,0,0
51,65+,female,majority,10-19y,university,working class,0.231418,0,after 2015,1,0,10068,16074,sedan,1,0,1,0
52,40-64,male,minority,30y+,none,middle class,0.183364,1,after 2015,1,0,10009,18088,sedan,1,0,0,0
53,65+,female,majority,20-29y,university,working class,0.411855,0,before 2015,0,0,10238,23824,sports car,1,0,1,0
54,65+,male,majority,30y+,none,upper class,0.236806,0,before 2015,1,1,10007,21103,sedan,2,0,2,1
55,40-64,female,minority,0-9y,high school,middle class,0.696938,1,after 2015,1,1,10048,6257,sedan,1,0,1,0
56,65+,male,minority,20-29y,high school,middle class,0.239772,0,before 2015,0,1,10022,24667,sports car,0,0,1,0
57,16-25,male,majority,30y+,university,middle class,0.835397,0,before 2015,1,1,10007,9885,sports car,2,3,1,1
58,26-39,female,majority,0-9y,none,working class,0.834011,1,before 2015,1,1,10032,17867,sedan,0,1,3,1
59,16-25,female,minority,20-29y,high school,working class,0.285526,1,after 2015,0,0,10048,17414,sedan,5,1,0,1
60,26-39,male,minority,30y+,high school,working class,0.75354,1,after 2015,0,0,10009,5898,sedan,3,0,4,1
61,26-39,male,majority,20-29y,high school,working class,0.857546,0,after 2015,1,1,10048,24732,sports car,1,0,5,1
62,26-39,male,majority,0-9y,university,working class,0.590133,0,before 2015,1,0,10068,13613,sedan,4,0,2,1
63,40-64,female,minority,20-29y,none,middle class,0.366332,1,after 2015,0,0,10065,21218,sedan,0,0,3,0
64,26-39,male,minority,0-9y,university,poverty,0.440967,1,after 2015,0,0,10015,12668,sedan,0,1,2,0
65,26-39,male,minority,30y+,university,upper class,0.786229,0,before 2015,0,1,10022,12474,sedan,2,0,2,0
66,40-64,female,majority,0-9y,university,working class,0.293317,1,after 2015,1,0,10238,18310,sedan,1,1,3,1
67,16-25,female,majority,0-9y,university,upper class,0.334462,1,after 2015,1,0,10068,11822,sports car,2,0,0,1
68,40-64,female,majority,10-19y,high school,upper class,0.160784,1,before 2015,0,1,10032,13603,sedan,1,0,3,1
69,16-25,male,majority,20-29y,high school,working class,0.399052,0,before 2015,0,1,10022,14502,sedan,1,0,0,0
70,65+,female,majority,30y+,university,upper class,0.086515,0,before 2015,0,0,10009,13629,sedan,3,0,1,1
71,40-64,female,majority,0-9y,university,upper class,0.321034,1,after 2015,1,0,10065,11180,sedan,2,1,4,1
72,26-39,female,majority,0-9y,high school,poverty,0.373479,1,after 2015,1,1,10015,20875,sports car,0,2,1,1
73,16-25,female,majority,10-19y,university,upper class,0.255479,1,before 2015,0,0,10032,21043,sedan,0,0,1,0
74,40-64,male,minority,30y+,university,poverty,0.101358,1,before 2015,0,0,10068,20546,sports car,2,0,2,0
75,40-64,female,minority,10-19y,university,working class,0.521667,1,after 2015,1,0,10009,5407,sports car,1,0,5,1
76,40-64,male,majority,10-19y,university,middle class,0.865081,0,before 2015,0,1,10238,15355,sedan,0,1,1,0
77,40-64,male,majority,20-29y,university,poverty,0.335645,1,after 2015,1,0,10015,21162,sports car,1,0,0,0
78,16-25,male,majority,10-19y,university,working class,0.236802,0,before 2015,0,1,10238,5134,sedan,0,0,1,0
79,26-39,male,minority,10-19y,none,upper class,0.285038,1,after 2015,1,1,10009,9762,sedan,0,0,1,0
80,16-25,female,majority,10-19y,university,upper class,0.861887,0,after 2015,1,1,10022,15577,sports car,0,0,5,0
81,65+,female,minority,30y+,high school,middle class,0.527808,1,before 2015,1,1,10015,12577,sedan,2,0,4,1
82,40-64,female,majority,30y+,high school,middle class,0.13079,0,before 2015,1,1,10032,20752,sedan,2,0,2,0
83,26-39,female,majority,20-29y,university,upper class,0.709222,1,after 2015,0,1,10015,16092,sedan,0,0,0,0
84,16-25,male,minority,10-19y,university,poverty,0.154369,0,after 2015,1,0,10048,18966,sedan,5,0,1,1
85,26-39,male,majority,10-19y,university,upper class,0.060244,1,after 2015,1,0,10048,5601,sedan,5,0,4,1
86,26-39,female,majority,0-9y,high school,working class,0.255685,1,after 2015,0,1,10015,7735,sedan,4,0,1,0
87,40-64,female,majority,20-29y,high school,upper class,0.16809,0,before 2015,1,1,10238,15153,sedan,0,2,0,0
88,40-64,male,majority,20-29y,none,middle class,0.604997,1,before 2015,1,1,10068,21477,sedan,3,0,2,0
89,65+,female,majority,30y+,high school,upper class,0.484566,1,after 2015,1,1,10015,6371,sports car,0,0,2,0
90,26-39,male,majority,0-9y,university,upper class,0.724065,0,after 2015,0,0,10068,5383,sports car,0,3,0,0
91,16-25,male,minority,20-29y,high school,upper class,0.511571,0,after 2015,0,0,10007,17957,sports car,1,1,4,1
92,40-64,male,minority,20-29y,high school,middle class,0.419006,1,before 2015,0,1,10007,14120,sedan,0,0,0,0
93,40-64,male,minority,10-19y,high school,upper class,0.526219,1,after 2015,1,0,10065,10928,sedan,0,0,5,1
94,40-64,female,majority,20-29y,university,middle class,0.434486,1,before 2015,1,0,10238,7939,sedan,0,0,2,0
95,40-64,female,majority,30y+,none,working class,0.037087,1,before 2015,1,1,10007,10882,sedan,1,0,4,0
96,26-39,male,majority,30y+,university,middle class,0.680699,0,before 2015,1,1,10081,10279,sports car,1,0,1,0
97,40-64,female,majority,20-29y,high school,poverty,0.96213,1,before 2015,0,1,10068,6063,sports car,1,0,1,0
98,26-39,female,majority,0-9y,none,upper class,0.422034,0,after 2015,0,1,10009,17012,sports car,1,0,1,0
99,16-25,male,minority,30y+,university,poverty,0.423733,0,before 2015,0,0,10015,22098,sedan,0,0,2,0
100,16-25,male,majority,20-29y,high school,upper class,0.045769,0,after 2015,1,0,10081,19539,sedan,1,0,2,0
101,16-25,female,minority,10-19y,high school,working class,0.890379,0,before 2015,1,1,10081,17349,sedan,0,0,0,0
102,40-64,female,majority,0-9y,university,working class,0.929121,1,before 2015,0,0,10032,10992,sedan,5,0,0,0
103,26-39,female,majority,0-9y,university,upper class,0.813139,1,after 2015,0,1,10015,15541,sedan,4,0,1,1
104,40-64,male,majority,0-9y,university,poverty,0.106345,1,after 2015,1,0,10022,10476,sedan,1,0,1,0
105,65+,female,majority,20-29y,university,middle class,0.900224,0,before 2015,0,1,10009,8024,sedan,1,1,3,1
106,26-39,male,majority,0-9y,high school,middle class,0.023956,1,after 2015,0,1,10081,6887,sedan,1,0,4,1
107,26-39,male,minority,0-9y,high school,working class,0.444574,0,after 2015,1,0,10048,6671,sedan,5,0,1,0
108,40-64,male,minority,10-19y,high school,middle class,0.500624,0,after 2015,1,0,10238,14274,sedan,0,0,0,0
109,26-39,male,minority,10-19y,university,middle class,0.834002,1,after 2015,0,1,10007,19412,sedan,1,0,2,0
110,16-25,male,majority,0-9y,university,upper class,0.750859,0,after 2015,0,1,10007,14371,sedan,1,0,2,0
111,26-39,male,minority,0-9y,high school,poverty,0.797097,0,after 2015,0,0,10238,16848,sedan,0,0,0,0
112,26-39,male,minority,0-9y,none,working class,0.867901,0,before 2015,1,0,10081,16326,sedan,0,0,1,0
113,65+,female,majority,20-29y,high school,middle class,0.476071,0,after 2015,1,0,10081,11121,sedan,0,0,2,0
114,40-64,male,minority,0-9y,university,working class,0.780252,0,after 2015,0,1,10032,23413,sedan,1,0,3,0
115,40-64,male,majority,20-29y,high school,working class,0.068033,0,after 2015,0,0,10065,19715,sedan,0,2,1,0
116,65+,male,majority,0-9y,university,working class,0.444546,1,before 2015,0,1,10032,19448,sedan,1,0,0,0
117,40-64,male,majority,0-9y,university,middle class,0.030133,0,before 2015,0,0,10068,15144,sedan,1,1,1,1
118,26-39,female,majority,10-19y,university,upper class,0.915315,1,before 2015,0,0,10022,8795,sports car,0,0,4,1
119,65+,male,majority,0-9y,none,working class,0.958414,0,after 2015,0,1,10048,13600,sedan,2,0,3,1
120,40-64,female,majority,0-9y,university,working class,0.083939,1,after 2015,1,0,10009,9482,sedan,0,0,1,0
121,40-64,male,minority,10-19y,university,middle class,0.532627,0,before 2015,0,0,10015,8786,sedan,0,0,0,0
122,65+,male,minority,10-19y,none,poverty,0.32514,0,after 2015,1,1,10022,7021,sedan,0,2,2,1
123,26-39,female,minority,20-29y,high school,middle class,0.342534,0,after 2015,1,0,10238,10355,sedan,0,0,0,0
124,16-25,female,majority,0-9y,university,working class,0.4507,0,before 2015,0,1,10009,18487,sedan,0,0,0,0
125,26-39,male,majority,30y+,university,working class,0.125066,0,before 2015,1,1,10015,20489,sedan,0,1,2,0
126,26-39,female,majority,30y+,high school,working class,0.18077,1,after 2015,0,1,10238,23698,sports car,1,0,2,0
127,40-64,male,minority,20-29y,none,working class,0.577369,0,after 2015,1,0,10022,14907,sedan,0,0,1,0
128,65+,female,majority,10-19y,high school,upper class,0.018756,1,after 2015,0,0,10032,18120,sedan,1,1,1,1
129,16-25,female,majority,30y+,university,upper class,0.599801,0,after 2015,1,1,10022,23891,sedan,2,0,3,1
130,40-64,female,minority,0-9y,university,middle class,0.318917,0,before 2015,1,1,10007,18439,sports car,4,1,1,1
131,26-39,female,majority,0-9y,high school,middle class,0.832206,0,before 2015,1,1,10081,19217,sedan,4,0,0,0
132,26-39,male,majority,0-9y,high school,poverty,0.600007,1,before 2015,0,1,10032,20613,sedan,2,2,2,1
133,16-25,female,minority,30y+,university,middle class,0.708091,1,before 2015,0,0,10081,9882,sedan,2,1,1,0
134,26-39,male,majority,10-19y,university,middle class,0.114425,0,after 2015,1,0,10048,20457,sedan,1,0,0,0
135,65+,male,majority,30y+,university,poverty,0.265862,0,before 2015,1,1,10065,22839,sedan,2,3,4,1
136,26-39,male,majority,10-19y,university,working class,0.99667,0,before 2015,0,1,10022,6325,sedan,3,0,2,0
137,40-64,male,majority,30y+,high school,working class,0.433652,1,before 2015,1,0,10007,23152,sedan,4,1,4,1
138,40-64,female,majority,30y+,university,working class,0.358865,0,after 2015,1,1,10032,11047,sedan,2,0,0,0
139,26-39,female,minority,30y+,none,middle class,0.873855,1,after 2015,1,1,10015,22200,sedan,3,1,1,0
140,65+,female,majority,10-19y,university,upper class,0.033075,1,after 2015,0,1,10032,6005,sedan,0,0,0,0
141,65+,male,minority,30y+,university,middle class,0.534773,1,before 2015,0,0,10015,23481,sedan,3,0,1,0
142,26-39,male,majority,30y+,university,middle class,0.210257,1,before 2015,0,0,10022,11355,sedan,2,0,3,0
143,26-39,female,majority,10-19y,university,working class,0.368153,1,after 2015,1,1,10068,20457,sports car,0,0,3,0
144,26-39,male,minority,10-19y,none,working class,0.199777,1,after 2015,0,0,10081,6762,sedan,0,0,5,0
145,26-39,female,minority,20-29y,high school,middle class,0.037823,0,before 2015,0,1,10065,21186,sedan,0,0,5,1
146,16-25,female,majority,10-19y,high school,working class,0.416512,1,after 2015,0,1,10015,12023,sports car,0,0,1,0
147,40-64,female,minority,20-29y,university,working class,0.789203,1,after 2015,0,0,10068,22822,sports car,1,3,0,0
148,40-64,male,majority,0-9y,university,middle class,0.951954,1,before 2015,0,1,10007,15308,sedan,5,0,4,1
149,16-25,female,majority,10-19y,university,working class,0.623853,0,after 2015,0,0,10015,23162,sports car,0,1,0,0
150,26-39,male,minority,0-9y,university,poverty,0.388837,0,before 2015,0,1,10081,15367,sedan,1,0,1,0
151,65+,female,majority,10-19y,high school,poverty,0.769855,1,after 2015,1,0,10238,22407,sedan,0,0,5,1
152,26-39,male,majority,10-19y,none,working class,0.505224,0,after 2015,1,1,10068,15178,sedan,3,0,0,0
153,16-25,male,majority,30y+,high school,middle class,0.36762,1,after 2015,1,0,10048,13695,sedan,3,0,2,0
154,26-39,male,majority,0-9y,university,working class,0.17909,1,before 2015,1,0,10048,20185,sedan,0,0,0,0
155,65+,female,majority,30y+,university,poverty,0.79613,1,after 2015,0,1,10032,12172,sedan,0,0,0,0
156,26-39,male,majority,20-29y,high school,working class,0.500426,0,after 2015,1,0,10065,19828,sedan,1,0,0,0
157,40-64,male,majority,10-19y,university,poverty,0.963804,1,after 2015,1,1,10238,13879,sedan,1,0,0,0
158,40-64,male,majority,0-9y,high school,upper class,0.80191,1,after 2015,0,1,10081,8736,sedan,2,0,3,1
159,26-39,female,majority,0-9y,high school,working class,0.420016,0,after 2015,1,1,10015,24517,sports car,0,0,3,1
160,40-64,female,majority,10-19y,high school,poverty,0.74085,0,after 2015,1,1,10081,10464,sedan,0,0,0,0
161,26-39,female,majority,0-9y,high school,middle class,0.453391,0,after 2015,0,1,10022,12197,sports car,2,0,2,1
162,40-64,female,minority,10-19y,university,working class,0.079866,0,after 2015,0,1,10238,15544,sedan,2,0,0,0
163,40-64,male,minority,30y+,high school,middle class,0.516681,0,after 2015,1,0,10065,21025,sedan,0,0,0,0
164,40-64,male,minority,0-9y,high school,working class,0.865729,1,after 2015,1,0,10015,14131,sedan,0,2,0,0
165,16-25,female,majority,20-29y,university,upper class,0.855441,1,after 2015,1,1,10007,9817,sedan,0,0,0,0
166,40-64,male,majority,30y+,university,upper class,0.574967,1,after 2015,1,0,10032,18705,sedan,3,0,1,0
167,26-39,male,majority,30y+,university,middle class,0.380024,0,after 2015,0,0,10081,20558,sedan,1,0,4,0
168,26-39,male,minority,30y+,high school,middle class,0.010101,0,after 2015,1,0,10009,21122,sedan,0,0,1,0
169,16-25,male,majority,30y+,high school,working class,0.31141,1,before 2015,0,1,10015,15740,sedan,0,3,3,1
170,40-64,male,minority,10-19y,none,upper class,0.989809,1,before 2015,0,1,10048,18760,sedan,3,0,0,0
171,40-64,male,minority,30y+,none,working class,0.726491,1,after 2015,0,0,10032,11894,sedan,0,0,1,0
172,16-25,male,majority,30y+,university,working class,0.717589,1,before 2015,1,1,10238,7903,sedan,1,0,0,0
173,40-64,male,majority,10-19y,none,poverty,0.761083,1,after 2015,1,0,10048,8042,sedan,0,1,0,0
174,26-39,male,majority,10-19y,high school,working class,0.620113,0,before 2015,0,1,10022,5859,sedan,1,1,0,0
175,40-64,male,majority,10-19y,university,middle class,0.585859,0,after 2015,1,0,10007,9682,sedan,1,1,1,0
176,26-39,male,majority,10-19y,university,working class,0.453619,0,after 2015,1,0,10022,18189,sedan,3,0,1,0
177,40-64,female,minority,0-9y,high school,middle class,0.443934,0,before 2015,1,0,10009,23175,sedan,0,0,0,0
178,26-39,male,majority,20-29y,high school,working class,0.870848,1,after 2015,0,0,10015,20859,sedan,2,0,2,0
179,65+,female,majority,20-29y,high school,upper class,0.393456,1,after 2015,0,0,10009,20328,sedan,0,0,1,0
180,16-25,female,majority,10-19y,high school,middle class,0.840292,0,after 2015,0,1,10081,23188,sedan,0,0,0,0
181,26-39,female,minority,0-9y,high school,middle class,0.837734,1,after 2015,1,0,10238,9558,sports car,1,0,0,0
182,16-25,male,minority,20-29y,high school,middle class,0.770898,0,before 2015,0,1,10068,6179,sedan,0,1,1,0
183,65+,male,minority,0-9y,none,upper class,0.037642,1,after 2015,0,1,10065,13400,sports car,0,0,0,0
184,65+,male,minority,0-9y,high school,poverty,0.147972,1,after 2015,0,0,10081,12533,sedan,4,2,1,1
185,26-39,female,majority,20-29y,high school,poverty,0.314705,0,before 2015,0,1,10238,16948,sedan,0,1,5,1
186,40-64,male,majority,10-19y,university,middle class,0.847533,1,before 2015,1,1,10065,14655,sedan,0,0,0,0
187,40-64,female,majority,0-9y,high school,middle class,0.873259,0,after 2015,1,1,10015,19966,sedan,0,0,1,0
188,40-64,female,majority,10-19y,university,working class,0.041557,0,after 2015,1,1,10022,20928,sedan,1,1,2,0
189,40-64,male,minority,20-29y,high school,working class,0.324725,1,after 2015,0,1,10015,16542,sedan,4,1,0,0
190,26-39,male,majority,20-29y,university,working class,0.850384,0,before 2015,0,1,10238,9157,sports car,0,0,1,0
191,16-25,female,majority,10-19y,high school,working class,0.249693,1,before 2015,1,1,10081,22569,sedan,0,2,0,0
192,65+,male,majority,0-9y,high school,upper class,0.976003,1,after 2015,0,1,10032,10286,sedan,0,1,2,0
193,65+,male,majority,20-29y,university,working class,0.489304,0,before 2015,0,1,10007,20308,sedan,5,0,0,0
194,40-64,female,minority,30y+,university,middle class,0.937313,0,before 2015,1,0,10032,15161,sedan,2,0,2,0
195,26-39,male,majority,20-29y,university,middle class,0.428826,0,after 2015,1,0,10022,16134,sedan,2,0,1,0
196,26-39,female,minority,30y+,university,poverty,0.323799,0,before 2015,1,1,10022,8223,sedan,2,0,0,0
197,40-64,female,majority,10-19y,none,poverty,0.36241,1,after 2015,1,1,10238,16412,sports car,0,0,1,0
198,65+,female,majority,20-29y,high school,working class,0.884301,0,after 2015,1,0,10068,21694,sedan,0,0,4,0
199,65+,male,minority,30y+,high school,middle class,0.330689,1,before 2015,0,1,10065,13741,sports car,0,0,3,1
200,40-64,male,minority,20-29y,none,working class,0.669346,0,after 2015,1,1,10081,11472,sedan,1,2,5,1
201,40-64,female,majority,30y+,university,poverty,0.469843,0,after 2015,1,0,10015,10380,sedan,0,1,0,0
202,16-25,male,majority,10-19y,high school,working class,0.941671,1,before 2015,1,1,10009,14443,sedan,0,0,5,1
203,26-39,male,majority,30y+,university,poverty,0.159363,1,after 2015,1,1,10009,9930,sports car,0,0,1,0
204,65+,male,majority,20-29y,high school,working class,0.428657,1,before 2015,1,1,10009,13774,sports car,2,0,1,1
205,40-64,male,minority,30y+,high school,working class,0.124634,1,before 2015,1,0,10238,14944,sedan,0,0,2,0
206,16-25,male,majority,0-9y,none,poverty,0.578139,0,before 2015,1,1,10238,8415,sedan,1,0,4,1
207,16-25,female,minority,20-29y,none,middle class,0.402899,1,after 2015,0,0,10081,22111,sedan,1,1,3,1
208,40-64,male,minority,30y+,university,working class,0.060937,0,after 2015,1,0,10081,19413,sedan,1,0,2,0
209,16-25,male,majority,0-9y,university,middle class,0.849838,1,before 2015,0,0,10065,21349,sedan,0,0,0,0
210,26-39,female,majority,20-29y,high school,middle class,0.375515,0,after 2015,0,0,10068,22263,sedan,2,0,1,0
211,40-64,female,majority,30y+,university,upper class,0.493631,0,before 2015,1,1,10065,15190,sedan,0,0,2,0
212,40-64,male,majority,10-19y,university,poverty,0.407513,1,before 2015,1,0,10081,22680,sports car,1,0,1,0
213,40-64,male,majority,10-19y,university,working class,0.488653,0,before 2015,1,0,10015,16906,sedan,3,0,0,0
214,26-39,female,majority,20-29y,high school,upper class,0.016325,0,before 2015,0,0,10015,24204,sedan,0,0,1,0
215,40-64,female,minority,10-19y,high school,upper class,0.81546,1,after 2015,1,0,10048,13591,sedan,1,0,2,0
216,26-39,female,majority,0-9y,high school,working class,0.332308,0,after 2015,0,1,10022,20560,sedan,3,0,1,1
217,26-39,female,minority,0-9y,high school,poverty,0.724462,0,after 2015,1,1,10022,12005,sedan,2,1,2,0
218,40-64,male,majority,0-9y,high school,upper class,0.064887,0,before 2015,0,1,10048,7555,sports car,1,2,1,1
219,40-64,female,minority,10-19y,high school,working class,0.523825,1,before 2015,1,0,10015,22263,sports car,0,0,2,0
220,40-64,male,minority,0-9y,university,upper class,0.908792,0,after 2015,0,0,10009,18976,sedan,0,0,1,0
221,40-64,female,majority,20-29y,none,upper class,0.398248,1,before 2015,1,1,10022,16653,sports car,1,3,1,1
222,40-64,female,minority,20-29y,university,working class,0.197259,0,before 2015,1,1,10007,24015,sedan,0,0,2,0
223,16-25,female,majority,20-29y,university,upper class,0.099081,0,before 2015,0,0,10009,20771,sports car,0,1,3,1
224,26-39,male,minority,0-9y,university,working class,0.859088,0,before 2015,1,1,10081,6445,sports car,5,0,3,1
225,26-39,male,minority,10-19y,high school,middle class,0.238806,1,after 2015,0,0,10065,5860,sedan,1,0,2,0
226,26-39,female,majority,10-19y,none,working class,0.975071,0,before 2015,1,1,10081,16543,sedan,0,0,2,0
227,65+,female,majority,30y+,high school,poverty,0.247823,0,after 2015,1,0,10022,14123,sedan,1,0,0,0
228,26-39,female,majority,20-29y,none,middle class,0.480991,1,before 2015,1,1,10065,6024,sedan,1,0,1,0
229,65+,male,majority,30y+,university,working class,0.457994,1,before 2015,0,0,10238,6959,sedan,0,2,0,0
230,40-64,male,minority,0-9y,none,upper class,0.06201,1,after 2015,0,1,10022,11834,sedan,0,0,3,0
231,40-64,male,minority,20-29y,high school,working class,0.531839,0,after 2015,1,0,10048,13550,sports car,0,0,0,0
232,40-64,male,majority,10-19y,none,poverty,0.672641,0,after 2015,1,0,10009,19439,sports car,1,0,0,0
233,40-64,female,minority,30y+,none,working class,0.742136,1,before 2015,0,0,10015,20354,sports car,4,1,2,1
234,26-39,male,minority,10-19y,university,upper class,0.522592,1,before 2015,1,0,10238,15667,sports car,2,0,0,0
235,26-39,female,majority,10-19y,university,working class,0.812585,0,after 2015,0,1,10048,7929,sedan,4,0,1,0
236,40-64,female,majority,0-9y,high school,upper class,0.752098,1,after 2015,0,0,10032,12110,sports car,5,0,2,1
237,26-39,female,majority,20-29y,high school,working class,0.193974,1,before 2015,1,1,10015,21152,sedan,0,2,5,1
238,16-25,male,minority,10-19y,university,middle class,0.401602,0,before 2015,0,1,10048,23264,sedan,1,1,1,0
239,40-64,female,minority,0-9y,university,upper class,0.142582,0,before 2015,0,1,10065,11087,sedan,0,0,2,0
240,26-39,male,majority,0-9y,university,poverty,0.133424,1,after 2015,1,1,10032,6117,sports car,0,0,3,0
241,65+,female,majority,30y+,high school,working class,0.712127,1,after 2015,0,1,10081,10530,sedan,0,0,3,0
242,65+,male,minority,10-19y,none,upper class,0.530459,1,after 2015,0,1,10009,21425,sedan,0,0,3,1
243,65+,male,minority,30y+,none,middle class,0.60095,0,after 2015,1,1,10081,12961,sedan,1,0,1,0
244,26-39,male,minority,30y+,university,middle class,0.732184,0,after 2015,1,0,10048,7663,sedan,5,0,5,1
245,16-25,male,majority,30y+,university,upper class,0.277235,1,after 2015,1,1,10068,18741,sports car,1,0,3,0
