,0
533,0
534,1
535,1
536,0
537,0
538,0
539,1
540,0
541,0
542,1
543,0
544,1
545,1
546,1
547,1
548,0
549,1
550,0
551,1
552,0
553,1
554,1
555,1
556,0
557,0
558,0
559,1
560,1
561,1
562,0
563,0
564,0
565,1
566,0
567,0
568,0
569,1
570,1
571,0
572,0
573,1
574,0
575,1
576,0
577,0
578,0
579,1
580,1
581,1
582,0
583,0
584,0
585,1
586,0
587,0
588,0
589,0
590,1
591,1
592,1
593,0
594,0
595,1
596,1
597,0
598,0
599,1
600,1
601,0
602,0
603,1
604,1
605,0
606,1
607,1
608,0
609,1
610,1
611,0
612,1
613,0
614,1
615,1
616,1
617,0
618,0
619,1
620,1
621,0
622,0
623,0
624,0
625,0
626,1
627,0
628,0
629,1
630,0
631,0
632,1
633,0
634,0
635,0
636,1
637,1
638,1
639,1
640,0
641,1
642,1
643,1
644,0
645,0
646,1
647,0
648,0
649,0
650,0
651,0
652,0
653,1
654,0
655,0
656,0
657,0
658,1
659,1
660,1
661,0
662,0
663,1
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,1
681,0
682,1
683,1
684,1
685,1
686,0
687,1
688,0
689,1
690,1
691,0
692,0
693,1
694,0
695,0
696,0
697,0
698,0
699,1
700,1
701,0
702,1
703,1
704,0
705,0
706,0
707,0
708,0
709,1
710,1
711,0
712,1
713,1
714,1
715,1
716,0
717,1
718,0
719,1
720,0
721,1
722,1
723,0
724,0
725,0
726,1
727,1
728,1
729,1
730,1
731,0
732,0
733,0
734,0
735,1
736,1
737,1
738,0
739,0
740,0
741,0
742,1
743,1
744,0
745,0
746,0
747,0
748,1
749,1
750,1
751,0
752,0
753,0
754,1
755,0
756,1
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,1
766,0
767,1
768,0
769,1
770,0
771,1
772,1
773,0
774,0
775,0
776,1
777,0
778,1
779,0
780,0
781,1
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,1
791,1
792,0
793,1
794,0
795,0
796,0
797,1
798,0
799,1
800,0
801,1
802,0
803,0
804,0
805,0
806,1
807,0
808,0
809,0
810,0
811,0
812,1
813,0
814,0
815,0
816,0
817,1
818,1
819,1
820,0
821,0
822,1
823,0
824,0
825,0
826,0
827,0
828,1
829,0
830,0
831,0
832,0
833,1
834,0
835,0
836,0
837,1
838,1
839,1
840,0
841,0
842,1
843,0
844,1
845,1
846,0
847,0
848,1
849,0
850,1
851,0
852,1
853,1
854,1
855,1
856,0
857,1
858,0
859,0
860,0
861,0
862,1
863,1
864,0
865,0
866,1
867,1
868,0
869,1
870,1
871,0
872,0
873,0
874,0
875,0
876,1
877,0
878,0
879,0
880,0
881,1
882,0
883,0
884,1
885,1
886,0
887,0
888,0
889,0
890,0
891,1
892,0
893,1
894,0
895,1
896,0
897,0
898,1
899,1
900,1
901,1
902,1
903,1
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,1
913,0
914,1
915,0
916,0
917,1
918,0
919,1
920,0
921,0
922,0
923,1
924,0
925,0
926,1
927,0
928,0
929,0
930,0
931,0
932,1
933,0
934,0
935,1
936,0
937,1
938,1
939,1
940,0
941,0
942,1
943,0
944,1
945,0
946,0
947,1
948,0
949,0
950,1
951,1
952,1
953,1
954,0
955,0
956,1
957,0
958,0
959,0
960,0
961,0
962,1
963,0
964,0
965,0
966,0
967,1
968,1
969,1
970,1
971,1
972,1
973,0
974,0
975,1
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,1
985,1
986,1
987,0
988,1
989,1
990,0
991,0
992,0
993,0
994,1
995,0
996,1
997,1
998,1
999,0
1000,0
1001,0
1002,0
1003,1
1004,1
1005,0
1006,1
1007,0
1008,1
1009,0
1010,1
1011,1
1012,0
1013,1
1014,1
1015,0
1016,1
1017,1
1018,0
1019,0
1020,0
1021,1
1022,1
1023,0
1024,1
1025,1
1026,0
1027,1
1028,1
1029,1
1030,0
1031,1
1032,1
1033,0
1034,0
1035,0
1036,1
1037,0
1038,1
1039,1
1040,0
1041,0
1042,0
1043,1
1044,0
1045,1
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,1
1055,1
1056,0
1057,0
1058,1
1059,1
1060,1
1061,0
1062,1
1063,0
1064,0
1065,1
1066,0
1067,0
1068,1
1069,1
1070,1
1071,0
1072,1
1073,0
1074,0
1075,1
1076,0
1077,1
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,1
1086,1
1087,0
1088,1
1089,0
1090,1
1091,1
1092,1
1093,0
1094,0
1095,1
1096,1
1097,0
1098,1
1099,1
1100,1
1101,0
1102,0
1103,1
1104,0
1105,0
1106,0
1107,0
1108,0
1109,1
1110,1
1111,1
1112,0
1113,1
1114,0
1115,1
1116,1
1117,1
1118,1
1119,0
1120,0
1121,0
1122,0
1123,0
1124,1
1125,0
1126,0
1127,0
1128,0
1129,0
1130,1
1131,1
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,1
1139,1
1140,0
1141,1
1142,0
1143,0
1144,0
1145,0
1146,1
1147,1
1148,0
1149,0
1150,0
1151,1
1152,1
1153,0
1154,0
1155,0
1156,0
1157,1
1158,0
1159,1
1160,1
1161,0
1162,0
1163,0
1164,0
1165,1
1166,0
1167,1
1168,1
1169,0
1170,0
1171,0
1172,0
1173,1
1174,0
1175,0
1176,0
1177,0
1178,1
1179,1
1180,0
1181,0
1182,0
1183,0
1184,0
1185,1
1186,0
1187,0
1188,1
1189,0
1190,0
1191,1
1192,1
1193,0
1194,0
1195,0
1196,1
1197,0
1198,1
1199,1
1200,1
1201,0
1202,0
1203,0
1204,0
1205,1
1206,0
1207,0
1208,0
1209,0
1210,1
1211,1
1212,1
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,1
1220,1
1221,1
1222,1
1223,0
1224,1
1225,1
1226,1
1227,1
1228,0
1229,0
1230,0
1231,0
1232,0
1233,1
1234,1
1235,1
1236,0
1237,0
1238,1
1239,1
1240,0
1241,0
1242,1
1243,0
1244,0
1245,0
1246,0
1247,1
1248,1
1249,0
1250,0
1251,1
1252,0
1253,1
1254,1
1255,0
1256,1
1257,0
1258,1
1259,0
1260,0
1261,1
1262,0
1263,1
1264,0
1265,0
1266,0
1267,0
1268,1
1269,0
1270,0
1271,0
1272,1
1273,1
1274,1
1275,1
1276,1
1277,1
1278,0
1279,0
1280,1
1281,0
1282,1
1283,1
1284,0
1285,0
1286,0
1287,0
1288,1
1289,0
1290,0
1291,1
1292,0
1293,0
1294,1
1295,0
1296,0
1297,1
1298,1
1299,1
1300,0
1301,1
1302,0
1303,0
1304,0
1305,0
1306,0
1307,1
1308,0
1309,0
1310,0
1311,1
1312,0
1313,1
1314,0
1315,1
1316,0
1317,0
1318,0
1319,0
1320,1
1321,1
1322,0
1323,1
1324,0
1325,1
1326,0
1327,1
1328,1
1329,1
1330,0
1331,0
1332,0
1333,0
1334,1
1335,1
1336,0
1337,1
1338,0
1339,1
1340,1
1341,1
1342,0
1343,0
1344,1
1345,0
1346,1
1347,1
1348,0
1349,0
1350,0
1351,0
1352,1
1353,0
1354,0
1355,1
1356,0
1357,0
1358,0
1359,0
1360,1
1361,1
1362,1
1363,0
1364,0
1365,1
1366,0
1367,0
1368,1
1369,0
1370,0
1371,1
1372,1
1373,0
1374,0
1375,1
1376,0
1377,1
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,1
1387,0
1388,0
1389,1
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,1
1397,0
1398,0
1399,1
1400,1
1401,1
1402,1
1403,1
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,1
1416,1
1417,0
1418,1
1419,0
1420,0
1421,0
1422,1
1423,0
1424,0
1425,0
1426,0
1427,1
1428,0
1429,0
1430,0
1431,0
1432,1
1433,0
1434,1
1435,0
1436,1
1437,0
1438,0
1439,0
1440,1
1441,0
1442,1
1443,0
1444,1
1445,1
1446,0
1447,0
1448,0
1449,0
1450,0
1451,1
1452,1
1453,1
1454,1
1455,1
1456,0
1457,0
1458,0
1459,1
1460,0
1461,0
1462,1
1463,0
1464,1
1465,1
1466,0
1467,0
1468,1
1469,0
1470,1
1471,1
1472,1
1473,0
1474,1
1475,0
1476,0
1477,1
1478,1
1479,1
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,1
1490,0
1491,1
1492,0
1493,0
1494,1
1495,0
1496,0
1497,1
1498,0
1499,0
1500,0
1501,1
1502,1
1503,0
1504,1
1505,0
1506,1
1507,1
1508,0
1509,1
1510,0
1511,0
1512,0
1513,1
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,1
1521,1
1522,0
1523,1
1524,1
1525,0
1526,1
1527,0
1528,0
1529,1
1530,1
1531,0
1532,0
1533,0
1534,1
1535,0
1536,0
1537,0
1538,1
1539,1
1540,1
1541,0
1542,0
1543,0
1544,0
1545,0
1546,1
1547,0
1548,0
1549,0
1550,0
1551,1
1552,0
1553,0
1554,0
1555,1
1556,0
1557,0
1558,0
1559,1
1560,1
1561,1
1562,0
1563,1
1564,0
1565,1
1566,0
1567,0
1568,0
1569,1
1570,0
1571,0
1572,1
1573,1
1574,0
1575,1
1576,1
1577,0
1578,0
1579,0
1580,1
1581,0
1582,1
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,1
1590,1
1591,1
1592,0
1593,1
1594,0
1595,1
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,1
1606,0
1607,1
1608,0
1609,1
1610,1
1611,0
1612,0
1613,1
1614,0
1615,1
1616,0
1617,1
1618,0
1619,0
1620,1
1621,0
1622,0
1623,0
1624,0
1625,0
1626,1
1627,0
1628,0
1629,1
1630,1
1631,0
1632,1
1633,0
1634,0
1635,1
1636,1
1637,0
1638,1
1639,1
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,1
1647,0
1648,1
1649,0
1650,0
1651,0
1652,1
1653,0
1654,1
1655,0
1656,0
1657,1
1658,1
1659,1
1660,0
1661,1
1662,1
1663,1
